TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,White-alone pop,POP_ESTIMATE_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,POVALL_2018,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
35451.0,3998,4402,4823,4000,4263,5138,17966,35451,10.8,12.4,-1.6,4592,9831,7019,20.9,40285.0,14591,13861,730,5.0,40285,191.3,174.8,65.9,61.2,7.1,6.7,24.76144087,1.270121847,1.175159466,13.99508091,13.02171651,40.13347631,0,35981,7858,21.8,47,24,93,28016,53.2,39.7,9.8,16.6,3.8,24.8991565823249,2,28.484386900228486,17485,33.099999999999994
31490.0,3084,3551,3140,3116,3506,4647,28763,31490,8.9,13.1,-4.2,2710,9099,5613,18.3,39522.0,13961,13274,687,4.9,39522,330.2,305.7,128.9,119.7,12.1,11.7,25.88082522,13.08158075,0.79995278,18.94005846,26.30432963,52.79688345,0,31822,9959,31.3,64,19,29,25552,47.2,35.0,10.7,13.0,3.9,33.17243569387107,1,36.51635439822166,2727,25.950000000000003
9338.0,1648,1357,1030,962,904,1130,5949,9338,17.4,11.5,5.9,694,2196,1857,20.9,47412.0,3872,3747,125,3.2,47412,240.4,219.1,92.8,84.8,9.2,8.6,5.00645973,4.276130509,0.603315443,3.588139215,5.726204469,10.13993324,0,9319,2183,23.4,1441,41,23,6563,47.7,35.8,8.4,13.8,4.0,24.70550439066181,1,30.57399871492825,3389,27.799999999999997
15761.0,1908,2044,1744,1690,1670,2210,14808,15761,12.2,11.9,0.3,1167,3700,1762,11.4,53811.0,8806,8569,237,2.7,53811,218.2,193.1,84.8,77.9,6.9,6.5,9.597988052,4.259668995,0.589262534,6.382012867,10.79149437,20.40945742,0,15904,4425,27.8,379,15,67,12121,47.1,37.8,8.3,12.0,3.4,28.51976397436711,1,38.144787767273655,953,16.6
22061.0,2292,3440,4537,2149,2241,2456,16013,22061,10.1,10.9,-0.8,1422,4021,3838,19.9,45408.0,9580,9214,366,3.8,45408,207.6,188.2,79.9,75.0,7.0,6.5,9.552513832,1.5298662,0.644154189,6.58062064,12.33408874,26.62259985,0,22495,5000,22.2,117,3,19,17877,44.0,32.8,7.7,11.8,3.1,22.41965459408005,2,35.048275236843295,6048,25.75
36644.0,4242,4211,4148,4274,4376,5349,30102,36644,10.6,9.1,1.5,2904,8726,3387,9.4,63681.0,16967,16459,508,3.0,63681,263.2,231.8,90.3,81.7,7.3,6.3,19.26483921,9.043030824,0.413002359,18.2753544,16.04256039,50.55837214,0,35265,9382,26.6,194,46,137,28922,42.7,32.4,8.3,12.2,3.2,27.409671433249645,2,36.554415456827854,6542,12.2
25413.0,2043,2593,2469,2364,2789,3823,23659,25413,7.5,14.4,-6.9,1821,7339,3359,13.4,48589.0,10682,9699,983,9.2,48589,287.0,249.7,97.8,87.6,7.9,6.7,11.23713637,9.617666717,0.366096751,18.85144031,15.31250506,51.61709949,0,25475,8824,34.6,842,22,31,21250,51.5,36.2,11.5,14.0,3.9,36.72136308188722,1,40.11332782434187,1754,25.0
22036.0,1856,1981,1926,2187,2068,2969,19817,22036,8.9,15.6,-6.7,1962,4923,3354,15.4,46365.0,8403,7825,578,6.9,46365,278.8,246.3,100.6,91.7,6.9,6.1,8.880966602,5.579481158,0.269031586,10.96011288,12.9164404,32.50895809,0,20940,8028,38.3,1768,47,49,18524,51.6,39.0,9.7,14.5,4.2,41.064621528408054,1,42.99782174623344,2219,20.55
54402.0,5244,6182,5894,5837,6679,8017,52593,54402,9.5,12.2,-2.7,5994,13236,8022,15.2,45510.0,26683,25785,898,3.4,45510,263.2,231.8,90.3,81.7,7.3,6.3,28.60074727,13.42536194,0.613146882,27.13174953,23.8169242,75.05939748,14,54457,15381,28.2,64,46,191,44341,49.4,32.5,9.9,12.4,3.5,30.419837505974044,1,38.07580603654277,1809,18.85
136349.0,19985,21134,14435,18617,18864,18758,129175,136349,12.8,6.2,6.6,4727,24875,6639,4.9,81540.125,74674,72455,2219,3.0,87377,302.7,265.0,104.9,96.0,7.4,6.6,69.98264001,44.03074434,2.9057676592500004,78.12298182,85.1941444,228.0024692,3,131130,22152,16.9,623,23,171,98346,39.4,33.4,4.8,8.1,2.4,18.00966637085714,1,40.897989717563014,7174,4.15
18743.0,2592,2882,3743,2095,1876,1896,17067,18743,13.5,8.3,5.2,2085,3236,3979,22.6,41700.0,7875,7533,342,4.3,41700,244.8,213.8,91.1,82.1,7.7,7.3,9.141495675,4.75858679,0.366733192,8.756873059,10.15224813,25.88599656,0,19313,3425,17.7,1053,31,41,14191,44.6,33.8,6.9,10.9,3.2,19.521954863148906,1,29.749773248679507,1676,28.3
55933.0,4643,6633,5894,5368,6640,9542,49943,55933,7.7,9.0,-1.3,2897,13849,5690,10.3,62657.0,24698,23369,1329,5.4,62657,320.5,273.3,100.8,88.2,8.7,7.2,30.58459935,24.75854544,0.869103994,45.31569369,31.46243806,116.9010383,0,55687,15643,28.1,54,38,103,45892,45.9,32.3,7.9,12.1,3.3,30.77431927484669,2,42.93172188153684,5990,14.6
44593.0,5313,5795,5246,5205,5601,6569,42814,44593,10.9,9.9,0.9,3679,13118,5065,11.6,57193.0,23195,22476,719,3.1,57193,230.8,212.0,80.3,74.4,6.5,6.1,23.00992771,5.630868495,0.87961496,17.53232545,22.14364025,58.01460487,0,44339,10052,22.7,58,14,145,34423,50.5,38.0,9.9,12.9,3.1,24.36256811607203,1,31.278451774942255,1779,15.65
3028.0,343,434,334,301,303,399,2636,3028,5.9,11.5,-5.6,503,600,718,24.1,32597.0,1128,1079,49,4.3,32597,224.8,199.9,72.9,66.5,6.2,5.4,1.0444346,0.616427411,0.055175686,1.145713107,1.014051048,3.57618627,0,3102,955,30.8,388,43,191,2334,57.7,41.5,12.6,19.9,5.1,30.184940554821665,2,32.39762219286658,392,37.349999999999994
37517.0,3695,4203,5946,4878,4540,4976,26568,37517,8.4,9.9,-1.5,2649,9074,5608,17.1,47380.0,16312,15231,1081,6.6,47380,287.0,249.7,97.8,87.6,7.9,6.7,16.58929073,14.19848118,0.54046558,27.83022415,22.60572354,76.20189357,6,38023,8659,22.8,843,22,33,30640,51.5,40.1,10.0,12.6,3.4,24.732787802862703,2,37.92680651438015,10949,21.35
153337.625,47171,51000,48146,54009,54806,56719,371060,416075,10.1,8.4,1.7,19201,60819,30022,7.3,81061.0,218998,210750,8248,3.8,81061,303.4,271.5,109.4,101.0,9.2,8.3,208.597815,114.9720465,2.9057676592500004,255.0632017,196.3857582,611.7942579,54,399962,94656,23.7,1358,37,5,326560,38.6,27.2,6.6,9.6,2.8,25.121199053396058,1,37.19048080991211,45015,7.65
6842.0,846,851,705,713,762,1038,6672,6842,10.5,9.4,1.0,714,2101,1001,14.9,46832.0,3187,3064,123,3.9,46832,273.1,236.3,86.6,79.0,7.0,6.3,3.816093556,0.742669656,0.13624917,4.256111368,3.055555157,12.1339937,0,6807,1916,28.1,117,25,45,5277,48.9,35.3,11.0,13.0,3.5,28.164279450453083,1,28.705057000876938,170,22.95
153337.625,48796,52497,52669,46464,49698,56900,306705,406892,11.4,11.2,0.2,26624,88970,75251,18.8,48370.0,181781,172887,8894,4.9,48370,287.0,249.7,97.8,87.6,7.9,6.7,179.9197612,153.9901486,2.9057676592500004,301.8337171,245.171204,826.4504326,151,410881,93094,22.7,846,22,49,315342,47.6,35.8,10.5,12.6,3.5,25.121199053396058,2,37.19048080991211,100187,27.35
58266.0,7324,7916,6882,6748,6852,8030,52684,58266,11.6,10.2,1.5,5201,13464,9144,16.0,49220.0,27232,26411,821,3.0,49220,273.1,236.3,86.6,79.0,7.0,6.3,32.49758947,6.324523558,1.160288532,36.2447508,26.02089692,103.3322533,0,58237,13667,23.5,145,25,145,44470,47.8,35.1,9.8,12.3,3.3,24.909895994233345,1,35.10795318024233,5582,22.05
4421.0,434,493,419,463,514,648,3872,4421,8.7,15.2,-6.5,713,1295,743,17.7,44290.0,1812,1708,104,5.7,44290,230.9,214.6,77.3,72.9,8.3,7.6,2.902875346,0.975540249,0.103886132,1.954048673,1.879844293,6.38751303,0,4625,1387,30.0,717,17,105,3579,56.6,39.0,15.2,18.8,4.5,32.798009500113096,2,28.930106310789416,549,26.6
49980.0,6295,6954,6121,5944,5932,6526,38497,49980,12.5,13.8,-1.3,5880,13555,10903,22.6,38709.0,19120,18240,880,4.6,38709,206.7,189.1,73.9,68.5,6.2,5.8,14.3358477,16.32588137,1.584421717,16.71881796,28.64634465,59.09259236,4,49860,11673,23.4,1335,36,79,37983,49.6,37.8,11.4,14.6,3.8,24.425770308123248,1,28.495398159263708,11483,29.1
42929.0,5741,5948,5400,5247,5001,5634,40111,42929,12.3,8.5,3.8,3544,9908,4973,11.8,58465.0,21734,21159,575,2.6,58465,218.2,193.1,84.8,77.9,6.9,6.5,26.14250549,11.60226701,1.605002939,17.38299793,29.39331653,55.5902289,5,42923,9608,22.4,607,15,139,32238,47.1,38.7,6.8,10.5,2.9,23.196440634536096,1,35.174357660322855,2818,15.35
