MEDHHINC_2018,Median_Household_Income_2018,anycondition_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence
53917.0,53917.0,46.6,8.8,12.4,3.3
67269.0,67269.0,41.1,5.6,9.7,2.8
70807.0,70807.0,44.5,6.4,11.2,2.7
73703.0,73703.0,44.7,8.2,12.8,3.5
32228.0,32228.0,60.6,16.5,18.8,4.3
48998.0,48998.0,51.7,13.2,15.4,3.6
62792.0,62792.0,43.8,6.2,10.7,3.2
46843.0,46843.0,49.4,9.6,13.8,3.4
76224.0,76224.0,43.4,5.8,8.9,2.5
60572.0,60572.0,47.5,9.8,11.7,3.3
42897.0,42897.0,37.0,6.3,10.4,3.2
53906.0,53906.0,41.1,8.8,13.4,3.6
56478.0,56478.0,50.9,8.1,11.3,3.2
37429.0,37429.0,54.5,11.0,16.9,4.1
44389.0,44389.0,47.3,10.2,13.5,3.5
45796.0,45796.0,48.6,10.8,13.7,3.4
60010.0,60010.0,44.4,9.8,12.7,3.1
52165.0,52165.0,50.6,9.7,13.2,3.2
48029.0,48029.0,51.0,9.3,15.7,3.8
44883.0,44883.0,49.2,10.4,13.7,3.7
49122.0,49122.0,45.9,9.9,12.6,3.4
47365.0,47365.0,45.7,8.6,12.5,3.4
51805.0,51805.0,47.8,8.0,12.3,3.4
33976.0,33976.0,51.1,11.6,18.4,4.8
28887.0,28887.0,63.3,13.3,23.1,5.5
50285.0,50285.0,47.6,10.1,14.1,3.7
47288.0,47288.0,47.6,9.1,13.9,4.1
56978.0,56978.0,47.6,7.3,10.1,3.1
37755.0,37755.0,54.1,12.4,14.5,3.8
42457.0,42457.0,51.8,11.8,14.3,3.8
39633.0,39633.0,53.9,10.2,16.4,3.9
35070.0,35070.0,55.1,12.3,17.6,4.4
56503.0,56503.0,37.4,8.3,12.7,3.7
59064.0,59064.0,47.5,7.4,13.2,3.3
35020.0,35020.0,56.3,11.2,17.1,4.2
51393.0,51393.0,37.5,6.1,9.7,2.8
32167.0,32167.0,57.8,10.8,19.2,4.5
47425.0,47425.0,50.7,9.8,12.1,3.4
46176.0,46176.0,50.1,9.1,13.5,3.5
34648.0,34648.0,51.8,14.6,16.8,4.0
55322.0,55322.0,46.9,6.9,10.6,3.1
39254.0,39254.0,49.9,11.7,15.5,3.9
41127.0,41127.0,54.9,11.4,16.4,4.1
58398.0,58398.0,41.8,8.1,11.3,3.1
39046.0,39046.0,53.3,10.7,17.2,4.1
55514.0,55514.0,44.0,8.6,12.9,3.5
84470.0,84470.0,42.3,6.2,10.4,2.8
42532.0,42532.0,53.4,12.8,16.0,3.9
52814.0,52814.0,47.6,9.8,16.0,4.4
35317.0,35317.0,57.4,15.4,17.0,3.9
46633.0,46633.0,46.0,6.1,14.2,3.8
64456.0,64456.0,46.3,7.0,10.6,3.1
51771.0,51771.0,47.7,8.4,13.0,3.1
77032.0,77032.0,39.1,5.4,10.5,2.5
44297.0,44297.0,53.2,10.0,13.8,3.4
49399.0,49399.0,46.5,9.8,14.8,3.9
59219.0,59219.0,45.3,7.5,10.5,3.2
64170.0,64170.0,44.6,7.3,10.3,2.5
43245.0,43245.0,50.6,11.3,15.1,4.0
50956.0,50956.0,47.0,8.9,12.0,3.1
47658.0,47658.0,50.0,12.6,15.1,3.6
63241.0,63241.0,45.4,9.9,11.9,3.0
55345.0,55345.0,44.5,7.2,11.0,2.9
37392.0,37392.0,50.0,13.2,15.3,3.6
42475.0,42475.0,53.0,12.9,15.3,3.8
49522.0,49522.0,53.7,10.7,14.6,3.4
39037.0,39037.0,53.1,13.2,16.8,4.3
54332.0,54332.0,50.3,8.6,14.0,3.6
41413.0,41413.0,53.9,9.4,19.5,4.8
29267.0,29267.0,60.7,10.9,20.6,4.5
64644.0,64644.0,46.4,9.2,12.0,2.8
31182.0,31182.0,60.5,17.0,17.6,4.3
45023.0,45023.0,45.4,10.4,13.9,3.7
40741.0,40741.0,57.4,11.5,19.1,4.3
55583.0,55583.0,41.2,8.9,11.4,3.1
41864.0,41864.0,45.6,10.7,13.6,3.8
53992.0,53992.0,45.7,8.9,12.7,3.4
60608.0,60608.0,41.5,6.4,9.8,2.8
47319.0,47319.0,41.2,8.1,11.6,3.2
59524.0,59524.0,36.4,5.4,8.5,2.6
66901.0,66901.0,46.2,8.6,12.1,3.0
36192.0,36192.0,56.1,14.6,17.0,4.1
56381.0,56381.0,43.8,7.0,12.6,2.9
110601.0,110601.0,23.9,3.8,8.8,2.3
63274.0,63274.0,38.4,6.6,8.5,2.5
52506.0,52506.0,49.1,9.3,12.4,3.1
42542.0,42542.0,49.6,9.7,14.0,3.6
38242.0,38242.0,41.8,8.2,13.5,4.2
39574.0,39574.0,58.1,11.8,19.0,4.2
60908.0,60908.0,54.4,10.7,13.3,3.1
27767.0,27767.0,62.9,13.1,22.4,5.2
38879.0,38879.0,52.0,12.1,14.4,3.6
49082.0,49082.0,46.1,9.3,14.4,3.5
39491.0,39491.0,52.3,12.5,15.6,3.8
50671.0,50671.0,47.1,7.3,13.5,3.2
42821.0,42821.0,55.3,10.8,14.3,3.5
43591.0,43591.0,50.9,10.4,16.3,4.0
51525.0,51525.0,49.2,8.9,13.0,3.4
51911.0,51911.0,44.8,7.6,11.1,3.4
51674.0,51674.0,54.0,12.9,15.1,3.5
51868.0,51868.0,52.5,10.7,13.5,3.2
44659.0,44659.0,39.0,7.4,11.3,3.5
51859.0,51859.0,50.2,11.9,13.9,3.4
36908.0,36908.0,56.2,11.7,20.3,5.1
58035.0,58035.0,50.2,8.3,13.1,3.4
45661.0,45661.0,55.4,13.3,15.6,3.7
52086.0,52086.0,44.8,8.2,12.4,3.6
82814.0,82814.0,36.3,5.4,9.0,2.6
84381.0,84381.0,33.6,4.1,8.2,2.2
28524.0,28524.0,62.4,13.4,25.6,5.8
52557.0,52557.0,45.6,7.5,12.0,2.8
65635.0,65635.0,43.8,8.3,10.9,2.9
66607.0,66607.0,38.9,7.4,11.0,3.1
53469.0,53469.0,45.4,8.3,11.9,3.3
53188.0,53188.0,46.1,8.7,12.3,3.7
61053.0,61053.0,41.7,8.1,11.0,2.8
43079.0,43079.0,42.5,8.9,10.8,3.0
28024.0,28024.0,64.3,13.1,24.0,5.7
58715.0,58715.0,47.6,8.1,13.0,3.6
51559.0,51559.0,49.5,8.4,13.0,3.2
37370.0,37370.0,54.4,11.6,14.5,3.7
33160.0,33160.0,57.2,8.2,20.0,4.6
30691.0,30691.0,55.0,14.8,16.5,4.1
59732.0,59732.0,49.4,10.0,12.4,3.5
67897.0,67897.0,45.7,6.8,10.2,2.8
84170.0,84170.0,33.7,5.6,9.7,2.9
49073.0,49073.0,49.7,10.9,13.6,3.6
44040.0,44040.0,53.6,12.0,14.5,3.6
49507.0,49507.0,50.4,10.2,12.3,3.6
42307.0,42307.0,53.3,12.8,15.0,3.9
